user_id,display_name,reputation,link
992600,adhg,2304,http://stackoverflow.com/users/992600/adhg
1290147,Luis Miguel,1537,http://stackoverflow.com/users/1290147/luis-miguel
2587904,Georg Heiler,943,http://stackoverflow.com/users/2587904/georg-heiler
2587904,Georg Heiler,943,http://stackoverflow.com/users/2587904/georg-heiler
3471881,user3471881,110,http://stackoverflow.com/users/3471881/user3471881
5337399,Jos&#233;,62,http://stackoverflow.com/users/5337399/jos%c3%a9
5550203,Arnold Klein,53,http://stackoverflow.com/users/5550203/arnold-klein
5754771,Alexander Eser,36,http://stackoverflow.com/users/5754771/alexander-eser
5754771,Alexander Eser,36,http://stackoverflow.com/users/5754771/alexander-eser
2716660,Kevin,15,http://stackoverflow.com/users/2716660/kevin
2730295,r_g_r,11,http://stackoverflow.com/users/2730295/r-g-r
6529170,Tarun,6,http://stackoverflow.com/users/6529170/tarun
