user_id,display_name,reputation,link
3510736,Ami Tavory,35841,http://stackoverflow.com/users/3510736/ami-tavory
2587904,Georg Heiler,943,http://stackoverflow.com/users/2587904/georg-heiler
4706745,jax,457,http://stackoverflow.com/users/4706745/jax
3314282,sfortney,423,http://stackoverflow.com/users/3314282/sfortney
4896087,George Liu,196,http://stackoverflow.com/users/4896087/george-liu
6840039,Petr Petrov,160,http://stackoverflow.com/users/6840039/petr-petrov
6840039,Petr Petrov,160,http://stackoverflow.com/users/6840039/petr-petrov
6777053,Niche.P,139,http://stackoverflow.com/users/6777053/niche-p
4464245,LeoCella,90,http://stackoverflow.com/users/4464245/leocella
4541216,shenglih,81,http://stackoverflow.com/users/4541216/shenglih
6485635,DataAddicted,81,http://stackoverflow.com/users/6485635/dataaddicted
6485635,DataAddicted,81,http://stackoverflow.com/users/6485635/dataaddicted
3698214,SteelyDanish,61,http://stackoverflow.com/users/3698214/steelydanish
3698214,SteelyDanish,61,http://stackoverflow.com/users/3698214/steelydanish
5239351,bencampbell_14,47,http://stackoverflow.com/users/5239351/bencampbell-14
5301837,sourav,39,http://stackoverflow.com/users/5301837/sourav
3079675,Saff,37,http://stackoverflow.com/users/3079675/saff
6618062,Yehuda Karlinsky,36,http://stackoverflow.com/users/6618062/yehuda-karlinsky
5236124,Kvothe,36,http://stackoverflow.com/users/5236124/kvothe
6845969,Kai,25,http://stackoverflow.com/users/6845969/kai
6858449,F. Jury,13,http://stackoverflow.com/users/6858449/f-jury
