BadageType,UserCount
Student,48
Supporter,46
Editor,45
Scholar,41
Teacher,38
Commentator,29
Critic,26
Tumbleweed,25
Curious,23
Popular Question,20
Nice Question,20
Autobiographer,17
Citizen Patrol,15
Organizer,14
Custodian,14
Self-Learner,11
Peer Pressure,10
Caucus,9
Nice Answer,9
Cleanup,7
Promoter,5
Excavator,5
Informed,5
Educated,5
Benefactor,4
Quorum,3
Revival,3
Backer,2
Disciplined,2
Suffrage,1
Renovator,1
Primer,1
Announcer,1
Incrementalist,1
Peer Review,1
Investor,1
Vox Populi,1
Bluebook,1
