QuesID,    AnsCount,    QuesTitle
39779726,1,Python DataFrame error for having a header with parenthesis
39774826,2,Pandas: how to draw a bar plot with two categories and four series each?
39761916,1,Rearranging groupings in bar chart from pandas dataframe
39759301,2,"Trying to plot a random series on a chart with matplotlib, but the chart will not display when the programe is ran."
39757188,1,How can I make a python candlestick chart clickable in matplotlib
39732288,1,Pandas: how to plot a line in a scatter and bring it to the back/front?
39728723,1,Vertical line at the end of a CDF histogram using matplotlib
39715686,0,"Cannot get pandas to open CSV [Python, Jupyter, Pandas]"
39711229,1,TypeError for bar plot with custom date range
39710995,0,Plot datetime64 with matplotlib
39697683,1,Pandas DataFrame plotting - Tick labels
39668665,1,Format a table that was added to a plot using pandas.DataFrame.plot
39655834,0,Matplotlib: skip xtick for dates
39652147,2,Error when trying to write a matplotlib plot from Pandas DataFrame to pdf
39646344,0,"Error creating multiple plots in python using PdfPages, pandas, matplotlib, and a for loop"
39639794,0,Trying to plot a dataframe with missing values (None)
39634777,2,Python Convert Datetime from csv for matplotlib
39630928,1,How to plot a figure with Chinese Characters in label
39629183,2,Create a 2D plot pixel grid based on a pandas series of lists
39624252,1,Loop over Colums in Pandas Dataframe to create multiple plots with one x variable and mulitple y (colum values)
39590948,1,Formatting datetime for plotting time-series with pandas
39561248,2,"Python, plotting Pandas&#39; pivot_table from long data"
39560099,2,Cannot combine bar and line plot using pandas plot() function
39538938,0,Weird artefacts in a matplotlib bar plot
39533004,1,Issues in Plotting Intraday OHLC Chart with Matplotlib
