Tag,QuesCount,AnsCount
pandas,600,750
python,600,750
dataframe,158,205
numpy,64,84
csv,30,37
python-2.7,29,36
matplotlib,25,26
datetime,23,32
group-by,21,31
python-3.x,19,17
indexing,16,24
multiple-columns,15,22
condition,13,25
scikit-learn,13,14
dictionary,12,14
plot,12,13
list,9,11
series,9,13
string,9,16
time-series,9,14
json,9,9
multi-index,8,11
excel,8,8
aggregate,7,10
merge,7,10
nan,7,9
arrays,6,7
pyspark,6,8
scipy,6,8
mysql,5,6
casting,5,6
for-loop,5,3
resampling,5,6
jupyter-notebook,5,4
sum,5,7
pivot-table,5,5
r,5,4
pivot,5,4
sklearn-pandas,5,7
histogram,4,4
sorting,4,10
datetimeindex,4,5
html,4,3
reshape,4,4
regex,4,7
apply,4,1
spark-dataframe,4,8
function,3,3
timestamp,3,2
bar-chart,3,4
date,3,6
duplicates,3,6
data-manipulation,3,2
xlsxwriter,3,2
apache-spark,3,4
python-3.5,3,4
split,3,4
replace,3,5
append,3,5
sql,3,4
tensorflow,3,3
dask,3,4
unicode,3,3
machine-learning,3,3
int,3,6
filtering,3,3
data-visualization,3,2
data-science,3,3
hdf5,3,0
grouping,3,4
nested,2,1
charts,2,2
rpy2,2,2
concat,2,3
optimization,2,4
pdfpages,2,2
aggregate-functions,2,3
utf-8,2,3
django,2,1
performance,2,3
seaborn,2,1
finance,2,5
count,2,2
categorical-data,2,2
reindex,2,3
vectorization,2,1
bokeh,2,0
slice,2,3
timezone,2,1
moving-average,2,3
lambda,2,2
chunks,2,2
beautifulsoup,2,1
select,2,3
pandasql,2,2
mean,2,4
jupyter,2,2
inner-join,2,2
graph,2,5
hadoop,2,2
sqlalchemy,2,1
classification,2,3
feature-selection,1,2
word-cloud,1,1
date-range,1,1
android,1,1
cluster-analysis,1,1
rdd,1,1
data-analysis,1,1
ordinal,1,1
data-representation,1,1
percentile,1,1
amazon-redshift,1,1
metadata,1,1
columnname,1,1
pymssql,1,0
p-value,1,1
rows,1,1
data-conversion,1,1
sqldf,1,0
sampling,1,1
floating-accuracy,1,1
multithreading,1,1
python-multithreading,1,1
text,1,3
gis,1,1
sql-server,1,0
removing-whitespace,1,1
python.net,1,0
group,1,2
cython,1,0
shapely,1,0
intersection,1,2
missing-data,1,1
range,1,1
tuples,1,1
polygon,1,0
tableau,1,1
filter,1,1
separator,1,1
ram,1,1
column-width,1,1
quantile,1,1
importerror,1,2
subset,1,1
add,1,1
copy,1,2
flask,1,1
min,1,1
bigdata,1,1
coupling,1,0
genfromtxt,1,2
bins,1,1
iteration,1,2
period,1,1
export,1,0
static,1,0
artificial-intelligence,1,1
divide,1,1
substitution,1,1
calculated-columns,1,2
visualization,1,2
memory,1,0
type-conversion,1,2
window,1,0
enumeration,1,1
chunking,1,1
algorithmic-trading,1,0
xml,1,1
contains,1,3
ranking,1,1
matrix,1,0
division,1,0
loops,1,1
beta,1,0
subplot,1,1
python-requests,1,1
hour,1,2
pycharm,1,0
postgresql,1,1
kdb,1,1
transpose,1,1
where,1,2
integer,1,1
categories,1,2
geopandas,1,0
panel-data,1,2
summarize,1,2
set,1,1
numeric,1,1
days,1,1
debugging,1,1
large-files,1,0
comparison,1,1
dbscan,1,1
fractions,1,1
analytics,1,2
multidimensional-array,1,0
directory,1,3
expand,1,1
technical-indicator,1,1
printing,1,1
scatter-plot,1,1
multiplying,1,1
options,1,1
rank,1,1
unique,1,1
imputation,1,1
extract,1,1
transform,1,2
dedupeplugin,1,3
types,1,0
uppercase,1,2
exxeleron-q,1,1
coding-style,1,0
intervals,1,1
in-place,1,1
string-concatenation,1,1
zipfile,1,1
data-structures,1,1
substring,1,1
strftime,1,1
data-munging,1,1
ironpython,1,0
boolean,1,5
q-lang,1,1
assign,1,1
panel,1,1
hive,1,1
statistics,1,2
mapping,1,2
apache-spark-sql,1,1
comparison-operators,1,1
proj,1,1
median,1,1
shift,1,3
xml-parsing,1,0
weighted-average,1,1
interactive,1,1
excel-formula,1,0
special-characters,1,1
string-length,1,1
pickle,1,1
standard-deviation,1,0
aggregation,1,1
itertools,1,1
openpyxl,1,1
lowercase,1,2
