,$,$$,$$$,$$$$
AK,188,506,73,7
AL,336,405,50,8
AR,381,446,21,3
AZ,416,459,29,2
CA,496,438,18,1
CO,376,544,57,6
CT,173,218,19,6
DC,296,517,117,23
DE,275,599,75,5
FL,288,605,55,9
GA,308,556,78,13
HI,367,496,58,17
IA,307,291,30,7
ID,309,412,34,6
IL,338,505,102,27
IN,378,480,41,4
KS,439,338,27,4
KY,377,474,48,8
LA,378,530,49,17
MA,333,469,119,21
MD,313,533,56,7
ME,203,391,83,7
MI,377,351,47,5
MN,313,396,46,1
MO,331,453,51,6
MS,194,252,32,3
MT,143,283,42,4
NC,352,501,45,8
ND,207,300,44,6
NE,415,469,23,5
NH,186,283,39,8
NJ,270,294,21,3
NM,414,471,21,3
NV,303,510,121,57
NY,266,512,130,50
OH,433,461,30,2
OK,375,467,47,3
OR,482,439,40,10
PA,379,492,80,11
RI,296,402,72,4
SC,339,398,33,6
SD,150,319,36,5
TN,330,427,50,7
TX,345,530,72,14
UT,398,429,46,3
VA,317,529,30,0
VT,158,315,80,7
WA,395,481,66,14
WI,341,502,39,9
WV,142,203,28,6
WY,130,171,20,6
